Acaciawood Preparatory Academy (Anaheim, CA)
Acad For College Prep And Career Exp (Brooklyn, NY)
Acad-Scholarship & Entrepreneurship (Bronx, NY)
Academe Of The Oaks (Decatur, GA)
Academia Avance Charter (Highland Park, CA)
Academic And Career Education Academy (Midland, MI)
Academic Arts High School (West Saint Paul, MN)
Academic Behavior&Community Acad (Quincy, IL)
Academic Center For Excellence (Cabot, AR)
Academic Excellence Online (Duluth, MN)
Academic Magnet High (North Charleston, SC)
Academic Recovery Ombudsman (Shreveport, LA)
Academic Solutions Academy A (Ft Lauderdale, FL)
Academic Solutions High School (Ft Lauderdale, FL)
Academica International Studies (Miami, FL)
Academies Of Education And Empowerment At Carson High (Carson, CA)
Academies Of The Antelope Valley (Quartz Hill, CA)
Academy (The)- Sf @Mcateer (San Francisco, CA)
Academy 21 (Center Line, MI)
Academy 360 (Midlothian, VA)
Academy At Double H Ranch (Fairmount, GA)
Academy At Palumbo (Philadelphia, PA)
Academy At Smith (Greensboro, NC)
Academy At Soar, Soar Inc. (Waynesville, NC)
Academy At Westinghouse (Pittsburgh, PA)
Academy Charter High School (Lake Como, NJ)
Academy Charter School (Castle Rock, CO)
Academy Charter School (Hempstead, NY)
Academy Charter School (Palmer, AK)
Academy Del Sol Alt. (Alamogordo, NM)
Academy Es (Guymon, OK)
Academy For Academic Excellence (Apple Valley, CA)
Academy For Academic Excellence (Clarksville, TN)
Academy For Advancement Of Children With Autism (Lancaster, CA)
Academy For Advancement Of Children With Autism (West Hills, CA)
Academy For Allied Health Sciences (Scotch Plains, NJ)
Academy For Arts/Science/Technology (Myrtle Beach, SC)
Academy For Autism (Orlando, FL)
Academy For Biotechnology (Mountain Lakes, NJ)
Academy For Business And Technology High School (Melvindale, MI)
Academy For Career Education (Reno, NV)
Academy For Career Exploration (Providence, RI)
Academy For Careers And Technology (Mullins, SC)
Academy For Careers In Television And Film (Long Island City, NY)
Academy For Change (Chico, CA)
Academy For Character Education (Cottage Grove, OR)
Academy For Classical Education (Macon, GA)
Academy For College And Career Exploration (Baltimore, MD)
Academy For Conservation And The Environment (Brooklyn, NY)
Academy For Discovery At Lakewood (Norfolk, VA)
Academy For Enriched Sciences (Encino, CA)
Academy For Environmental Science (Oak Ridge, NJ)
Academy For Excellence In Leadership (Brooklyn, NY)
Academy For Global Citizenship (Chicago, IL)
Academy For Health Careers (Brooklyn, NY)
Academy For Individual Excellence (Louisville, KY)
Academy For Information Technology (Scotch Plains, NJ)
Academy For Innovative Studies (Evansville, IN)
Academy For International Education Upper Charter School For (Miami Springs, FL)
Academy For Language And Technology (Bronx, NY)
Academy For Learning (Dolton, IL)
Academy For Math Engineering & Science (Salt Lake City, UT)
Academy For Mathematics Science And Engineering (Rockaway, NJ)
Academy For New Americans (Astoria, NY)
Academy For Performing Arts (Rockaway, NJ)
Academy For Performing Arts (Scotch Plains, NJ)
