3d Academy (Donna, TX)
Danville High School (Danville, OH)
Danville Junior-Senior High School (Danville, IA)
Danville Middle School (Danville, AR)
Danville School (Danville, VT)
Danvilleneel Elementary School (Danville, AL)
Danz Elementary (Green Bay, WI)
Daphne East Elementary School (Daphne, AL)
Daphne High School (Daphne, AL)
Daphne Middle School (Daphne, AL)
Dar-Un-Noor Atlanta Science Academy (Atlanta, GA)
Darby 7-8 (Darby, MT)
Darby High School (Darby, MT)
Darcey School (Cheshire, CT)
Darchai Menachem Inc (Brooklyn, NY)
Darchei Torah (Far Rockaway, NY)
Dardanelle High School (Dardanelle, AR)
Dare Learning Academy (Manteo, NC)
Daretown School (Elmer, NJ)
Darien High School (Darien, CT)
Dario Cassina High (Sonora, CA)
Darlington County Institute Of Technology (Darlington, SC)
Darlington High (Darlington, SC)
Darlington High (Darlington, WI)
Darlington School (Rome, GA)
Darnell Cookman Middle/High School (Jacksonville, FL)
Darnell School For Educational & Behavioral Servic (Hudson, MA)
Darrell Lynn Hines Academy (Milwaukee, WI)
Darrington Elementary School (Darrington, WA)
Darrington High School (Darrington, WA)
Darrouzett Schools (Darrouzett, TX)
Darrow School (New Lebanon, NY)
Dartmoor School (Issaquah, WA)
Dartmoor School (Seattle, WA)
Dartmouth El (Richardson, TX)
Dartmouth Elementary School (Aurora, CO)
Dartmouth High (Dartmouth, MA)
Dartmouth Middle (Hemet, CA)
Darul Arqam School (South River, NJ)
Darul Uloom Al Madania (Buffalo, NY)
Daspit Road Elementary School (New Iberia, LA)
Dassel-Cokato Alternative Ctr. (Cokato, MN)
Dassel-Cokato Senior High (Cokato, MN)
Data House (Fort Pierce, FL)
Date Elementary (Fontana, CA)
Datema House (Springfield, MO)
Dauphin County Technical School (Harrisburg, PA)
Dauphin Island Elementary School (Dauphin Island, AL)
Dauphin Junior High School (Enterprise, AL)
Dave Thomas Education Center West (Coconut Creek, FL)
Davenport A+ School (Lenoir, NC)
Davenport HS (Davenport, OK)
Davenport Senior High School (Davenport, WA)
David A. Perdue Elementary School (Warner Robins, GA)
David A. Perdue Primary (Warner Robins, GA)
David Anderson Jr/Sr High School (Lisbon, OH)
David Brearley Middle/High School (Kenilworth, NJ)
David C Abbott Early Learning Center (Morganville, NJ)
David C. Douglass Memorial School (Villas, NJ)
David C. Hinson Sr. Middle School (Daytona Beach, FL)
David City Secondary School (David City, NE)
David Crockett Academy (San Antonio, TX)
David Crockett High School (Jonesborough, TN)
David D Jones Elementary (Greensboro, NC)
David Douglas High School (Portland, OR)
David E. Owens Middle School (New Milford, NJ)
David Ellis Academy (Detroit, MI)
David Ellis Academy West (Redford, MI)
David Emanuel Academy (Stillmore, GA)
David Fairchild Elementary School (Miami, FL)
David Gourley School (Kearns, UT)
David Gregory School (Paramus, NJ)
David H. Hickman High (Columbia, MO)
David H. Ponitz Career Technology Center (Dayton, OH)
David Harrison Elementary (Springfield, MO)
David K Sellars El (Fort Worth, TX)
David L Rahn Jr High School (Mount Morris, IL)
David Louis Memorial School (Grayling, AK)
David Marquis School Of The Arts (The) (Staten Island, NY)
David Mindess (Ashland, MA)
David Paterson School (Hempstead, NY)
David Posnack Jewish Day School (Davie, FL)
David Prouty High (Spencer, MA)
David Smith Elementary School (Delaware, OH)
David Starr Jordan Senior High (Los Angeles, CA)
David Thibodaux Stem Magnet Academy (Lafayette, LA)
David W Carter H S (Dallas, TX)
David Wade Correctional Center (Homer, LA)
David Williams Jr Career &Tech Cnt (Tunica, MS)
Davidson Charter Academy (Lexington, NC)
Davidson County High School (Lexington, NC)
Davidson Day School (Davidson, NC)
Davidson Elementary (San Bernardino, CA)
Davidson Magnet School (Augusta, GA)
Davidson Middle School (Crestview, FL)
Davidson River School (Brevard, NC)
Davidson School (Elwyn, PA)
Davie County High (Mocksville, NC)
Davies Career-Tech High School (Lincoln, RI)
Daviess County High School (Owensboro, KY)
Daviess County Middle School (Owensboro, KY)
Davinci Academy (Ogden, UT)
Davinci School For Science And The Arts (El Paso, TX)
Davis Aerospace & Maritime High School (Cleveland, OH)
Davis Aerospace Technical High School At Golightly (Detroit, MI)
Davis Bilingual Magnet School (Tucson, AZ)
Davis Connect 7-12 (Layton, UT)
Davis County Community High School (Bloomfield, IA)
Davis El (Austin, TX)
Davis Elementary School (Columbus, GA)
Davis Elementary School (Malone, NY)
Davis H S Aldine (Houston, TX)
Davis H. Hart Career Ctr. (Mexico, MO)
Davis High (Kaysville, UT)
Davis High School (Yakima, WA)
Davis Hill Elementary (Holden, MA)
Davis HS (Davis, OK)
Davis N Elem School (Chicago, IL)
Davis Renov Stahler Yeshiva High School -Boys (Woodmere, NY)
Davis Senior High (Davis, CA)
Davis Thayer (Franklin, MA)
Davis Thomas Elementary Middle School (Thomas, WV)
Davis-Ramoth School (Selawik, AK)
Davis-Stuart School (Lewisburg, WV)
Davison Alternative Education (Davison, MI)
Davison Elementarymiddle School (Detroit, MI)
Davison High School (Davison, MI)
Davison Middle School (Davison, MI)
Daw Elementary School (Wellsville, OH)
Dawere International High School (Miami, FL)
Dawes Elem School (Chicago, IL)
Dawes Elementary School (Evanston, IL)
Dawson County High School (Dawsonville, GA)
Dawson Daep (Corsicana, TX)
Dawson El (Dawson, TX)
Dawson Elementary School (Columbus, GA)
Dawson Elementary School (Jackson, MS)
Dawson H S (Dawson, TX)
Dawson High School (Glendive, MT)
Dawson School (Welch, TX)
Dawson Springs Jr/Sr High School (Dawson Spgs, KY)
Dawson-Boyd Secondary (Dawson, MN)
Dawson-Bryant High School (Coal Grove, OH)
Day Anna B Sch (Philadelphia, PA)
Daybreak Alternative School (Spokane, WA)
Daybreak Youth Services (Brush Prairie, WA)
Daybrook Early Headstart Center(Clsd 97) (Fairview, WV)
Daylight/Twilight High School (Trenton, NJ)
Daylor (William) High (Continuation) (Sacramento, CA)
Days Creek Charter School (Days Creek, OR)
Dayspring Academy (Port Richey, FL)
Dayspring Christian Academy (Blacksburg, VA)
Dayspring Christian Academy (Greeley, CO)
Dayspring Christian Academy (Marianna, FL)
Dayspring Christian Academy (South Attleboro, MA)
Dayspring Christian School (Springfield, MO)
Daystar Academy (Chicago, IL)
Dayton Business Technology High School (Dayton, OH)
Dayton Center (Dayton, IA)
Dayton Christian School (Miamisburg, OH)
Dayton Digital Academy (Dayton, OH)
Dayton Early College Academy Inc (Dayton, OH)
Dayton Elementary School (Dayton, WA)
Dayton H S (Dayton, TX)
Dayton High School (Dayton, KY)
Dayton High School (Dayton, NV)
Dayton High School (Dayton, OR)
Dayton High School (Dayton, WA)
Dayton Middle School (Dayton, WA)
Dayton Regional Stem School (Kettering, OH)
Dayton School District Alternative Program (Dayton, WA)
Daytona Beach Christian Academy (Daytona Beach, FL)
Daytona Middle School (Lake Havasu City, AZ)
Daytop Prep School (Blauvelt, NY)
Daytop Preparatory School (Huntington Station, NY)
Dayville School (Dayville, OR)
Dba Mount Dora Christian Academy (Mount Dora, FL)
Dc Prep Pcs - Benning Ms (Washington, DC)
Dc Wolfe School (Shorter, AL)
Dcis At Ford (Denver, CO)
Dcis At Montbello (Denver, CO)
Dcyf Alternative Ed. Program (Cranston, RI)
Dd Eisenhower High Sch (Campus) (Blue Island, IL)
De Anza Academy Of Technology And The Arts (Ventura, CA)
De Anza High (Richmond, CA)
De Anza Middle (Ontario, CA)
De Armanville Elementary School (Anniston, AL)
De Beque Pk-12 School District 49jt (De Beque, CO)
De Chaumes El (Houston, TX)
De Forest High (De Forest, WI)
De Kalb County Adult High School (Smithville, TN)
De Kalb County High School (Smithville, TN)
De La Salle Collegiate High School (Warren, MI)
De La Salle High School (Concord, CA)
De La Salle High School (New Orleans, LA)
De La Salle Institute - Institute Campus (Chicago, IL)
De La Salle North Catholic High School (Portland, OR)
De La Vina Elem (Edinburg, TX)
De Lasalle Academy Of Fort Myers (Fort Myers, FL)
De Leon H S (De Leon, TX)
De Paul Catholic High School (Wayne, NJ)
De Pere High (De Pere, WI)
De Pere Middle (De Pere, WI)
De Sales High School (Louisville, KY)
De Smet High School - 01 (De Smet, SD)
De Smet Jesuit High School (Saint Louis, MO)
De Soto High (De Soto, WI)
De Soto High School (De Soto, KS)
De Soto Virtual School (De Soto, WI)
De Toldeo High School (West Hills, CA)
De Zavala El (Houston, TX)
De Zavala El (Midland, TX)
Deady Middle (Houston, TX)
Deaf High School (Fsdb) (St Augustine, FL)
Deaf Middle School (Fsdb) (St Augustine, FL)
Deaf/Hard Of Hearing (Burnsville, MN)
Deale Elementary (Deale, MD)
Dean L. Shively (South El Monte, CA)
Dean Morgan Middle School (Casper, WY)
Deanda El (Houston, TX)
Deane Bozeman School (Panama City, FL)
Dearborn (Roxbury, MA)
Dearborn Academy (Newton, MA)
Dearborn High School (Dearborn, MI)
Dearborn Magnet High School (Dearborn Heights, MI)
Dearborn Newcomer College Prep Academy (Dearborn, MI)
Dearing El (Round Rock, TX)
Deary School (Deary, ID)
Death Valley High Academy (Shoshone, CA)
Deauville Gardens East Elementary School (Copiague, NY)
Debakey H S For Health Prof (Houston, TX)
Decatur Central High School (Indianapolis, IN)
Decatur Christian School (Forsyth, IL)
Decatur Community Jr/Sr High (Oberlin, KS)
Decatur H S (Decatur, TX)
Decatur Heritage Christian Academy (Decatur, AL)
Decatur High Developmental (Decatur, AL)
Decatur High School (Decatur, AL)
Decatur High School (Decatur, AR)
Decatur High School (Decatur, GA)
Decatur High School (Federal Way, WA)
Decatur Jr Sr High School (Decatur, MI)
Decatur Twp School For Excellence (Indianapolis, IN)
Decker Middle (Austin, TX)
Deckerville Community High School (Deckerville, MI)
Declo Senior High School (Declo, ID)
Decorah Elementary (West Bend, WI)
Decorah High School (Decorah, IA)
Dedham High (Dedham, MA)
Dee-Mack High School (Mackinaw, IL)
Deep Creek Academy (Farmersville, CA)
Deep Creek Elementary School (Pt Charlotte, FL)
Deep Creek High (Chesapeake, VA)
Deep Creek Middle (Chesapeake, VA)
Deep Run High (Glen Allen, VA)
Deer Canyon Elementary (San Diego, CA)
Deer Creek HS (Edmond, OK)
Deer Creek-Lamont HS (Lamont, OK)
Deer Isle-Stonington High Sch (Deer Isle, ME)
Deer K-12 School (Deer, AR)
Deer Lakes HS (Cheswick, PA)
Deer Park Early Learning Center (Deer Park, WA)
Deer Park Elem (Newport News, VA)
Deer Park Elementary School (New Port Richey, FL)
Deer Park H S (Deer Park, TX)
Deer Park High School (Deer Park, NY)
Deer Park High School (Deer Park, WA)
Deer Park Home Link Program (Deer Park, WA)
Deer Park J H (Deer Park, TX)
Deer Park Jr/Sr High School (Cincinnati, OH)
Deer Park Middle School (Deer Park, WA)
Deer Path Elem School (Cary, IL)
Deer River High School Alp (Deer River, MN)
Deer River Secondary (Deer River, MN)
Deer Run Elementary School (Dublin, OH)
Deer Run School (East Haven, CT)
Deer Trail Elementary School (Deer Trail, CO)
Deer Trail Junior-Senior High School (Deer Trail, CO)
Deer Valley Academy (Glendale, AZ)
Deer Valley High (Antioch, CA)
Deer Valley High School (Glendale, AZ)
Deer Valley Middle School (Phoenix, AZ)
Deer Valley Online Learning Program (Phoenix, AZ)
Deerfield Beach High School (Deerfield Beach, FL)
Deerfield Elementary School (Mountainside, NJ)
Deerfield Elementary School (Ridgeville, IN)
Deerfield High (Deerfield, KS)
Deerfield High (Deerfield, WI)
Deerfield High School (Deerfield, IL)
Deerfield Middle School (Deerfield, KS)
Deerfield Run Elementary (Laurel, MD)
Deerfield Township Elementary School (Rosenhayn, NJ)
Deerfield-Windsor School (Albany, GA)
Deering High School (Portland, ME)
Deering School (Deering, AK)
Deerwood Elementary (Eagan, MN)
Deerwood Elementary (Orlando, FL)
Defiance High School (Defiance, OH)
Defiance Middle School (Defiance, OH)
Degan El (Lewisville, TX)
Dehryl A Dennis Prof-Tech Center (Boise, ID)
Dekalb Alternative School (Stone Mountain, GA)
Dekalb Annex School (Rainsville, AL)
Dekalb Early College Academy (Stone Mountain, GA)
Dekalb H S (Dekalb, TX)
Dekalb High School (Dekalb, IL)
Dekalb High School (Waterloo, IN)
Dekalb Jr.-Sr. High (Dekalb, MO)
Dekalb Preparatory Academy Charter (Decatur, GA)
Dekalb School Of The Arts (Avondale Estates, GA)
Dekalb Technical Center (Rainsville, AL)
Dekalb West Elementary (Liberty, TN)
Del Amigo High (Continuation) (Danville, CA)
Del Amo Elementary (Carson, CA)
Del Campo High (Fair Oaks, CA)
Del City HS (Del City, OK)
Del Dayo Elementary (Carmichael, CA)
Del Easton Alternative High School (Williston, ND)
Del Lago Academy - Campus Of Applied Science (Escondido, CA)
Del Mar High (San Gabriel, CA)
Del Mar High (San Jose, CA)
Del Norte Community (Crescent City, CA)
Del Norte County Rop (Crescent City, CA)
Del Norte Elementary (Roswell, NM)
Del Norte High (Albuquerque, NM)
Del Norte High (Crescent City, CA)
Del Norte High (San Diego, CA)
Del Norte High Jr./Sr. High School (Del Norte, CO)
Del Oro High (Loomis, CA)
Del Prado Elementary School (Boca Raton, FL)
Del Puerto High (Patterson, CA)
Del Rey Elementary (Del Rey, CA)
Del Rey Elementary (Orinda, CA)
Del Rey Woods Elementary (Seaside, CA)
Del Rio Early College H S (Del Rio, TX)
Del Rio Elementary (Del Rio, TN)
Del Rio Elementary School (Chino Valley, AZ)
Del Rio H S (Del Rio, TX)
Del Rio Middle 8th Grade Campus (Del Rio, TX)
Del Roble Elementary (San Jose, CA)
Del Sol Academy Of Performing Arts HS (Las Vegas, NV)
Del Sol School, Inc (Cypress, CA)
Del Sur Elementary (San Diego, CA)
Del Valle Continuation High (Livermore, CA)
Del Valle H S (Del Valle, TX)
Del Valle H S (El Paso, TX)
Del Valle Opportunity Ctr (Del Valle, TX)
Del Vallejo Middle (San Bernardino, CA)
Del Vista Math And Science Academy (Delano, CA)
Delaine Eastin Elementary (Union City, CA)
Deland High School (Deland, FL)
Deland Preparatory Academy (Deland, FL)
Deland-Weldon High School (De Land, IL)
Delaney (Wrentham, MA)
Delano High (Delano, CA)
Delano High School (Delano, MN)
Delasalle Charter High School (Kansas City, MO)
Delasalle High School (Minneapolis, MN)
Delaura Middle School (Satellite Beach, FL)
Delavan Elementary School (Delavan, IL)
Delavan High School (Delavan, IL)
Delavan-Darien High (Delavan, WI)
Delaware Academy High School (Delhi, NY)
Delaware Area Career Center South Campus (Delaware, OH)
Delaware Community School (Albany, NY)
Delaware County Christian School (Newtown Square, PA)
Delaware County Technical High School-As (Aston, PA)
Delaware County Technical High School-Fo (Folcroft, PA)
Delaware County Technical High School-Ma (Bromall, PA)
Delaware Early Childhood Center (Harrington, DE)
Delaware Elementary (Des Moines, IA)
Delaware Military Academy (Wilmington, DE)
