3d Academy (Donna, TX)
Desert Oasis High (Continuation) (El Centro, CA)
Desert Oasis High School (Othello, WA)
Desert Oasis HS (Las Vegas, NV)
Desert Palms Elementary School (Glendale, AZ)
Desert Pines HS (Las Vegas, NV)
Desert Ridge High (Mesa, AZ)
Desert Ridge Middle (Albuquerque, NM)
Desert Rose Academy Charter School (Tucson, AZ)
Desert Rose HS (N Las Vegas, NV)
Desert Sage Academy (Santa Fe, NM)
Desert Sage Elementary School (Boise, ID)
Desert Sage Elementary School (Pueblo West, CO)
Desert Sands Charter (Lancaster, CA)
Desert Sands Middle School (Phoenix, AZ)
Desert Springs Christian Academy (Las Curces, NM)
Desert Sun Academy (Scottsdale, AZ)
Desert Valley Elementary School (Glendale, AZ)
Desert Valley High (Continuation) (Brawley, CA)
Desert View Elementary (Rock Springs, WY)
Desert View Elementary Intermediate (Page, AZ)
Desert View High School (Tucson, AZ)
Desert View Middle & High School (Yuma, AZ)
Desert View Online School (Yuma, AZ)
Desert Vista High School (Phoenix, AZ)
Desert Willow Elementary School (Casa Grande, AZ)
Desert Willow Elementary School (Cave Creek, AZ)
Desert Willow J-Shs (Las Vegas, NV)
Desert Winds Continuation High (Lancaster, CA)
Deshler Alternative School (Tuscumbia, AL)
Deshler Career Technical Center (Tuscumbia, AL)
Deshler High School (Deshler, NE)
Deshler High School (Tuscumbia, AL)
Deshler Middle School (Tuscumbia, AL)
Desiderata School (Longmont, CO)
Design & Architecture Senior High (Miami, FL)
Design For Learning Differences School (Albuquerque, NM)
Design Lab @ Health Careers (Cleveland, OH)
Design Science Middle College High (Fresno, CA)
Design Tech High (Redwood City, CA)
Desmond T. Doss Christian Academy (Lynchburg, VA)
Desoto Central High School (Southaven, MS)
Desoto Central Primary (Southaven, MS)
Desoto Christian Academy (Olive Branch, MS)
Desoto Christian School (Arcadia, FL)
Desoto Co Career Center East (Olive Branch, MS)
Desoto Co Voc Complex (Southaven, MS)
Desoto County Alternative Center (Hernando, MS)
Desoto County High School (Arcadia, FL)
Desoto H S (Desoto, TX)
Desoto School (West Helena, AR)
Desoto Secondary School (Arcadia, FL)
Desoto Sr. High (Desoto, MO)
Desoto Trail Elementary School (Tallahassee, FL)
Desoto Virtual Franchise (Arcadia, FL)
Desoto Virtual Instruction Program (Arcadia, FL)
Dessie Scott School (Pine Ridge, KY)
Destinations Academy (Coos Bay, OR)
Destinations Career Academy Of Colorado (Westminster, CO)
Destinations Career Academy Of Oregon (Prineville, OR)
Destinations Career Academy Of Wisconsin High (Mcfarland, WI)
Destiny Achievement Centers (St Petersburg, FL)
Destiny Calling Academy (Wilmington, DE)
Destiny Christian School (Del City, OK)
Destiny Christian School And Preschool (Rochester, NY)
Destiny High School (Milwaukee, WI)
Destiny School (Globe, AZ)
Destrehan High School (Destrehan, LA)
Detent Ctr (Fort Worth, TX)
Detour Arts And Technology Academy (De Tour Vlg, MI)
Detour High School (De Tour Village, MI)
Detroit Christian Schools Of Excellence (Detroit, MI)
Detroit Collegiate High School (Detroit, MI)
Detroit Collegiate Preparatory High School At Northwestern (Detroit, MI)
Detroit Community Schools High School (Detroit, MI)
Detroit Country Day School (Bloomfield Hills, MI)
Detroit Cristo Rey High School (Detroit, MI)
Detroit Edison Public School Academy High School (Detroit, MI)
Detroit H S (Detroit, TX)
Detroit International Academy For Young Women (Detroit, MI)
Detroit Lakes Alternative Program (Detroit Lakes, MN)
Detroit Lakes Area Learning Center (Detroit Lakes, MN)
Detroit Lakes Senior High (Detroit Lakes, MN)
Detroit Leadership Academy High School (Detroit, MI)
Detroit Public Safety Academy (Detroit, MI)
Detroit School Of Arts (Detroit, MI)
Detwiler Ollie Es (Las Vegas, NV)
Deubrook High School - 01 (White, SD)
Deuel High School - 01 (Clear Lake, SD)
Developmental Classroomswsesd (Ludington, MI)
Developmental Ctr (Mexia, TX)
Developmental Disabilities Program - 01 (Sturgis, SD)
Developmental Learning Center (Tinton Falls, NJ)
Developmental Learning Center Warren (Warren, NJ)
Developmental Preschool (Raymond, WA)
Devens School (Everett, MA)
Devereux - Victoria (Victoria, TX)
Devereux Ackerman Academy (Kennesaw, GA)
Devereux Cleo Wallace Center (Westminster, CO)
Devereux Georgia - Ackerman Academy (Kennesaw, GA)
Devereux Glenholme School (Washington, CT)
Devereux Hospital (Viera, FL)
Devereux Mapleton School (Malvern, PA)
Devereux School (League City, TX)
Devereux School (Rutland, MA)
Devereux Treatment Program (Orlando, FL)
Devers Jh (Devers, TX)
Devils Lake High School (Devils Lake, ND)
Devine Daep School (Devine, TX)
Devine H S (Devine, TX)
Devine Middle (Devine, TX)
Devinny Elementary School (Lakewood, CO)
Devon El Sch (Devon, PA)
Devon Preparatory School (Devon, PA)
Devry Advantage Academy High Schl (Chicago, IL)
Dew El (Dew, TX)
Dewar HS (Dewar, OK)
Deway School (City Of Industry, CA)
Dewey Academy (Oakland, CA)
Dewey Avenue Elementary (San Gabriel, CA)
Dewey HS (Dewey, OK)
Dewey Ms (Dewey, OK)
Dewey Sch.-Internat'L. Studies (St Louis, MO)
Deweyville H S (Orange, TX)
Dewitt Clinton High School (Bronx, NY)
Dewitt High School (Dewitt, AR)
Dewitt High School (Dewitt, MI)
Dewolf Continuation High (Fresno, CA)
Dexter Alternative School (Dexter, MI)
Dexter Elementary School (Dexter, IA)
Dexter Elementary School (Tylertown, MS)
Dexter High (Dexter, KS)
Dexter High (Dexter, MO)
Dexter High (Dexter, NM)
Dexter High School (Dexter, MI)
Dexter Middle (Cordova, TN)
Dexter Middle (Dexter, NM)
Dexter Park (Orange, MA)
Dexter Regional High School (Dexter, ME)
Diablo Community Day (Concord, CA)
Diablo View Middle (Clayton, CA)
Diagnostic Ctr. (Hayti, MO)
Diagnostic Ctr. (Kennett, MO)
Diagonal Junior-Senior High School (Diagonal, IA)
Diamond Bar High (Diamond Bar, CA)
Diamond Elementary (Gaithersburg, MD)
Diamond High (Diamond, MO)
Diamond Hill Elementary (Abbeville, SC)
Diamond Hill-Jarvis H S (Fort Worth, TX)
Diamond Minds Transformational Leadership Academy (Miami, FL)
Diamond Oaks Cdc (Cincinnati, OH)
Diamond Point Elementary (Diamond Bar, CA)
Diamond Ranch Academy (Hurricane, UT)
Diamond Ranch High (Pomona, CA)
Diamond Ridge High School (Sandy, UT)
Diamond Technology Institute (Watsonville, CA)
Diamondback Elementary School (Bullhead City, AZ)
Diana C. Lobosco Stem Academy (Wayne, NJ)
Diane Winborn El (Katy, TX)
Diann Bankswilliamson Educational Center (Detroit, MI)
Dianne M Pellerin Center (Clinton Township, MI)
Diaz J H (Hidalgo, TX)
Dibble HS (Blanchard, OK)
Diberville Senior High Sch (Biloxi, MS)
Diboll H S (Diboll, TX)
Diboll Pri (Diboll, TX)
Dibrell Elementary (Mcminnville, TN)
Dickens (Billy Joe) High (Continuation) (Hughson, CA)
Dickens Sanomi Academy (Plantation, FL)
Dickerson Elementary School (Chester, NJ)
Dickinson (John) School (Wilmington, DE)
Dickinson Academy (Grand Rapids, MI)
Dickinson Continuation Center (Dickinson, TX)
Dickinson H S (Dickinson, TX)
Dickinson High School (Dickinson, ND)
Dickinson Middle School (Dickinson, ND)
Dickinsoniron Special Education (Kingsford, MI)
Dickinsoniron Tech Ed Center (Kingsford, MI)
Dickson County Adult High School (Dickson, TN)
Dickson County High School (Dickson, TN)
Dickson Es (Ardmore, OK)
Dickson HS (Ardmore, OK)
Dickson Ms (Ardmore, OK)
Diego Hills Central Public Charter (San Diego, CA)
Diego Rivera Learning Complex Green Design Steam Academy (Los Angeles, CA)
Diego Valley East Public Charter (El Cajon, CA)
Dierks High School (Dierks, AR)
Dieterich Jr/Sr High School (Dieterich, IL)
Dietrich School (Dietrich, ID)
Dietz K-8 School (Tucson, AZ)
Dighton Elementary (Dighton, MA)
Dighton High (Dighton, KS)
Dighton-Rehoboth Regional High School (North Dighton, MA)
Digital Arts & Technology Academy At Adams Middle (Grand Prairie, TX)
Digital Arts And Cinema Technology High School (Brooklyn, NY)
Digital Arts And Technology Academy (Albuquerque, NM)
Digital Harbor High School (Baltimore, MD)
Dike Elementary School (Dike, IA)
Dike-New Hartford High School (Dike, IA)
Dike-New Hartford Junior High School (New Hartford, IA)
Dilcon Community School (Winslow, AZ)
Dillard 6-12 (Fort Lauderdale, FL)
Dillard Alternative High School (Dillard, OR)
Dillard Drive Middle (Raleigh, NC)
Diller-Odell Secondary School (Odell, NE)
Dilley H S (Dilley, TX)
Dillingham Correspondence School (Dillingham, AK)
Dillingham Middle/High School (Dillingham, AK)
Dillon County Applied Technology Center (Dillon, SC)
Dillon High (Dillon, SC)
Dilworth School (Salt Lake City, UT)
Dilworth-Glyndon-Felton Senior High (Glyndon, MN)
Diman Regional Vocational Technical High (Fall River, MA)
Dime Box School (Dime Box, TX)
Dimensions Academy (Norman, OK)
Dimensions Collaborative (Escondido, CA)
Dimmitt H S (Dimmitt, TX)
Dimmitt Middle (Dimmitt, TX)
Dimond High School (Anchorage, AK)
Dinuba High (Dinuba, CA)
Dinwiddie High (Dinwiddie, VA)
Diocese Of Baton Rouge Special Education Program (Baton Rouge, LA)
Diomede School (Diomede, AK)
Diploma And Careers Institute (Auburn Hills, MI)
Diploma And Careers Institute (Rochester Hls, MI)
Diploma Degree North Campus (Peoria, IL)
Diploma Success Community School (Harper Woods, MI)
Diplomat Middle School (Cape Coral, FL)
Directions Program (Naperville, IL)
Dirigo High School (Dixfield, ME)
Dirksen Elem School (Chicago, IL)
Disciplinary Alternative Education Program (Cleveland, TX)
Disciplinary Alternative Educational Progam (Daep) (Bryan, TX)
Discipline Alternative Education Placement (New Braunfels, TX)
Discipline Alternative Education Program (Houston, TX)
Discovery (Port Orchard, WA)
Discovery Academy (Provo, UT)
Discovery Academy Of Lake Alfred (Lake Alfred, FL)
Discovery Bay Elementary (Discovery Bay, CA)
Discovery Canyon Campus High School (Colorado Springs, CO)
Discovery Charter Preparatory #2 (Sylmar, CA)
Discovery Christian School (Florence, MS)
Discovery Elementary - 26 (Sioux Falls, SD)
Discovery Elementary (Grand Rapids, MI)
Discovery Elementary School (Gig Harbor, WA)
Discovery Elementary School (Idaho Falls, ID)
Discovery Elementary School (Meridian, ID)
Discovery Elementary School (Sunrise, FL)
Discovery Hall (St Louis, MO)
Discovery High (Sacramento, CA)
Discovery High (Yreka, CA)
Discovery High School (Bronx, NY)
Discovery High School (Camas, WA)
Discovery High School (Colorado Springs, CO)
Discovery High School (Lake Alfred, FL)
Discovery High School (Lawrenceville, GA)
Discovery High School (Longview, WA)
Discovery High School (Newton, NC)
Discovery High School-Achieve (Longview, WA)
Discovery Middle School (Canton, MI)
Discovery Middle School (Fargo, ND)
Discovery Plus Academy (Pima, AZ)
Discovery Primary School (Milton, WA)
Discovery Program At The Springs (Statesville, NC)
Discovery Public School Faribault (Faribault, MN)
Discovery Ranch (Mapleton, UT)
Discovery Ridge Elementary (O'Fallon, MO)
Discovery School (Buffalo, NY)
Discovery School (Glendale, AZ)
Discovery School At Four Corners (Greenfield, MA)
Dishchii'Bikoh Community School (Cibecue, AZ)
Dishman Hills High School (Spokane, WA)
Disney Es (Tulsa, OK)
Disney Ii Magnet HS (Chicago, IL)
Disston Academy (Gulfport, FL)
Dist 206 Alternative High School (Chicago Heights, IL)
Dist Wide Gifted Program (Marianna, FL)
Distance Itinerant Service Program (Holbrook, AZ)
Distance Learning Academy 9-12 (Brooklyn Park, MN)
Distance Learning Indep Study (Spring Lake Park, MN)
Distance Learning Program (North Branch, MN)
Distance Learning/Corresp. Ctr. (Eagle River, AK)
District 7 Alternative School (Edwardsville, IL)
District 9-R Shared School (Durango, CO)
District Christian Academy (El Dorado Hills, CA)
District Instructional Center (Dic) (Miami, FL)
District Of Columbia International School (Washington, DC)
District Pre-K Programs (Crawfordville, FL)
District Reassignment & Opportunity Center (Charlotte, TX)
District Service Center (Plymouth, MN)
District Special Education (Stockton, CA)
Ditto El (Arlington, TX)
Diverseabilities (Davie, FL)
Divide County High School (Crosby, ND)
Divide High (Georgetown, CA)
Divine Academy (Pembroke Pines, FL)
Divine Academy Inc. (Sebring, FL)
Divine Child High School (Dearborn, MI)
Divine Savior Academy (Doral, FL)
Divine Savior Holy Angels High School (Milwaukee, WI)
Division Avenue Senior High School (Levittown, NY)
Division Street Elementary School (Saratoga Springs, NY)
Dixie Attendance Center (Hattiesburg, MS)
Dixie Canyon Community Charter (Sherman Oaks, CA)
Dixie County High School (Cross City, FL)
Dixie County Learning Academy, Inc (Old Town, FL)
Dixie El (Tyler, TX)
Dixie Elementary Magnet School (Lexington, KY)
Dixie Heights High School (Fort Mitchell, KY)
Dixie High (Due West, SC)
Dixie High (St George, UT)
Dixie High School (New Lebanon, OH)
Dixie M. Hollins High School (Kenneth City, FL)
Dixie Middle (St George, UT)
Dixie Virtual Franchise (Cross City, FL)
Dixie Virtual Instruction (Course Offerings) (Cross City, FL)
Dixie Virtual Instruction Program (Cross City, FL)
Dixieland Elementary School (Lakeland, FL)
Dixon Community Day (Dixon, CA)
Dixon Correctional Institute (Jackson, LA)
Dixon Elementary (Brookfield, WI)
Dixon High (Dixon, CA)
Dixon High (Dixon, MO)
Dixon High (Holly Ridge, NC)
Dixon High School (Dixon, IL)
Dixon Middle (Provo, UT)
Dixon Middle (Sneads Ferry, NC)
Dixon School Of Arts And Sciences (Pensacola, FL)
Dk Academy (Delton, MI)
Dld Sycamore School (Albuquerque, NM)
Dmh Adolescent Education Program Uab (Birmingham, AL)
Doane Academy (Burlington, NJ)
Doane Stuart School (Rensselaer, NY)
Dobbins Avt HS (Philadelphia, PA)
Dobbs Elem. (Kansas City, MO)
Dobbs Ferry High School (Dobbs Ferry, NY)
Dobbs Ferry Middle School (Dobbs Ferry, NY)
Dobie H S (Houston, TX)
Dobson High School (Mesa, AZ)
Doby'S Bridge Elementary (Fort Mill, SC)
Dobyns - Bennett High School (Kingsport, TN)
Dock Mennonite Academy (Lansdale, PA)
Doctor Franklin Perkins School (Lancaster, MA)
Doctors Charter School Of Miami Shores (Miami Shores, FL)
Doctors Inlet Elementary School (Middleburg, FL)
Dodd City School (Dodd City, TX)
Dodd El (Wylie, TX)
Doddridge County High School (West Union, WV)
Dodge City High School (Dodge City, KS)
Dodge County High School (Eastman, GA)
Dodge Elem School (Omaha, NE)
Dodgeland High (Juneau, WI)
Dodgeville High (Dodgeville, WI)
Dodson High School (Dodson, LA)
Dodson High School (Dodson, MT)
Doerun Elementary School (Doerun, GA)
Dogan El (Houston, TX)
Dogwood Elementary (Baltimore, MD)
Dogwood Elementary (Heber, CA)
Dogwood Elementary (Knoxville, TN)
Dogwood Elementary School (Germantown, TN)
Dogwood Hill Elementary School (Oakland, NJ)
Dogwood Hills School (Eldon, MO)
Doherty High School (Colorado Springs, CO)
Doherty Memorial High (Worcester, MA)
Dohn Community (Cincinnati, OH)
Dolan Ctr Maryville Farm Campus (Durand, IL)
Dolan Learning Center Llc (Woodinville, WA)
Doland High School - 01 (Doland, SD)
Dollar Baytamarack City Area K12 School (Dollar Bay, MI)
Dollarway High School (Pine Bluff, AR)
Dolores Gonzalez (Arroyo, PR)
Dolores Huerta El (Fort Worth, TX)
Dolores Huerta Elementary (Lennox, CA)
Dolores Huerta Elementary (Stockton, CA)
Dolores Secondary School (Dolores, CO)
Dolphin Stem Academy (St Petersburg, FL)
Domingo Aponte Collazo (Lares, PR)
Dominguez High (Compton, CA)
Dominican High School (Milwaukee, WI)
Dominion Academy (Dayton, OH)
Dominion Academy (Norfolk, VA)
Dominion Christian Academy, Inc. (Bay St Louis, MS)
Dominion Christian School (Reston, VA)
Dominion High (Sterling, VA)
Dominion Ridge Academy (Front Royal, VA)
Don Antonio Lugo High (Chino, CA)
Don Bosco Cristo Rey High School (Takoma Park, MD)
Don Bosco Preparatory High School (Ramsey, NJ)
Don Bosco Technical Institute (Rosemead, CA)
Don Brewer Elementary School (Jacksonville, FL)
Don E Woods Opportunity Center (Dundee, FL)
Don Juan Avila Elementary (Aliso Viejo, CA)
Don Pedro High (La Grange, CA)
Don R Daniel Ninth Grade Campus (Aledo, TX)
Don Riggio (Stockton, CA)
Don Smith Learning Academy (Beaver Dam, WI)
Don Soffer Aventura High School (Aventura, FL)
Donald E Gavit Middle/High School (Hammond, IN)
Donald E. Suburu (Bakersfield, CA)
Donald Elementary School (Fairfield, AL)
Donald Graham Elementary (Wildomar, CA)
Donald H Crane Junior/Senior High School (Westmoreland, NY)
Donald H Eichhorn Ms (Lewisburg, PA)
Donald J Stockton Jh (Conroe, TX)
Donald J. Meyer Elementary (San Jose, CA)
Donald P Sutherland School (Nassau, NY)
Donald Ralph Cooke School (Live Oak, FL)
Donaldson Career Center (Greenville, SC)
Donaldson Elem Sch (Oakdale, PA)
Donaldsonville High School (Donaldsonville, LA)
Donaldsonville Primary School (Donaldsonville, LA)
Dondero Harvey N Es (Las Vegas, NV)
Donegal HS (Mount Joy, PA)
Donegal Intermediate School (Marietta, PA)
Donegal Primary School (Mount Joy, PA)
Donegan El Sch (Bethlehem, PA)
Donehoo Elementary School (Gadsden, AL)
Donelson Christian Academy (Nashville, TN)
Donelson Elementary (Arlington, TN)
Dongola Elementary School (Dongola, IL)
Dongola High School (Dongola, IL)
Doniphan High (Doniphan, MO)
Doniphan West Jr/Sr High School (Highland, KS)
Doniphan-Trumbull Elementary (Doniphan, NE)
Doniphan-Trumbull Secondary (Doniphan, NE)
Donlon Elementary (Pleasanton, CA)
Donna Alternative Education Program (Donna, TX)
Donna H S (Donna, TX)
Donna J. Beasley Technical Academy (Lehigh Acres, FL)
Donna Lewis El (Houston, TX)
Donna North H S (Donna, TX)
Donna Park (Hurst, TX)
Donovan Catholic High School (Toms River, NJ)
Donovan Sr High School (Donovan, IL)
Doolen Middle School (Tucson, AZ)
Dooley Center (Roseville, MI)
Dooley John Es (Henderson, NV)
Dooley School At St. Joseph'S Villa (Richmond, VA)
Dooly County High School (Vienna, GA)
Dooly County Middle School (Pinehurst, GA)
Dooly County Prep Academy (Vienna, GA)
Dora High (Dora, MO)
Dora High (Dora, NM)
Dora High School (Dora, AL)
Dora Romero El (Brownsville, TX)
Doral Academy Charter High School (Doral, FL)
Doral Academy Charter Middle School (Doral, FL)
Doral Academy Of Colorado (Arvada, CO)
Doral Academy Red Rock (Las Vegas, NV)
Doral Academy West Pebble (Las Vegas, NV)
Doral Performing Arts & Entertainment Academy (Doral, FL)
Dorchester Academy (Saint George, SC)
Dorchester Career And Technology Center (Dorchester, SC)
Dorchester High School (Dorchester, NE)
Dore Elem School (Chicago, IL)
Dorie Miller Int (Ennis, TX)
Doris A. Sanders Learning Center (Lakeland, FL)
Doris Henderson Newcomers Sch (Greensboro, NC)
Doris Klaussen Dev Center (Battle Creek, MI)
Doris Todd Christian Academy (Paia, HI)
Dorman High (Roebuck, SC)
Dorothy Fox (Camas, WA)
Dorothy M. Wallace Cope Center (Miami, FL)
Dorothy Moses Elementary School (Bismarck, ND)
Dorothy Thomas Center (Tampa, FL)
Dorothy Thompson Middle (Progreso, TX)
Dorothy V. Johnson Community Day (Los Angeles, CA)
Dorr School (Dorr, MI)
Dorr Street Elementary School (Toledo, OH)
Dorton Elementary School (Dorton, KY)
Dos Palos High (Dos Palos, CA)
Dos Pueblos Senior High (Goleta, CA)
Doss High (Louisville, KY)
Dossin Elementarymiddle School (Detroit, MI)
Dot Lake School (Dot Lake, AK)
Dothan High School (Dothan, AL)
Dothan Technology Center (Dothan, AL)
Double Branch Elementary School (Wesley Chapel, FL)
Double Eagle Elementary (Albuquerque, NM)
Double Tree Elementary (Memphis, TN)
Dougherty Comprehensive High School (Albany, GA)
Dougherty Valley High (San Ramon, CA)
Douglas Anderson School Of The Arts (Jacksonville, FL)
Douglas Byrd High (Fayetteville, NC)
Douglas Co West High School (Valley, NE)
Douglas County High School (Castle Rock, CO)
Douglas County High School (Douglasville, GA)
Douglas Elementary (Trenton, SC)
Douglas Elementary (Watertown, WI)
Douglas High School - 03 (Box Elder, SD)
Douglas High School (Douglas, AL)
Douglas High School (Douglas, AZ)
Douglas High School (Douglas, MA)
Douglas High School (Douglas, WY)
Douglas High School (Minden, NV)
Douglas High School (Winston, OR)
Douglas Macarthur (Cleveland, OH)
Douglas Macarthur Elementary Sch (Indianapolis, IN)
Douglas Macarthur Elementary School (Waltham, MA)
Douglas Macarthur Fundamental Intermediate (Santa Ana, CA)
Douglas Middle School (Douglas, MA)
Douglas Nevada Online (Minden, NV)
Douglas Primary School (Douglas, MA)
Douglas R Welch High School (Ionia, MI)
Douglas Road Elementary School (Lambertville, MI)
Douglas School (Springfield, IL)
Douglas Upper Elementary School (Douglas, WY)
Douglass Academy High School (Chicago, IL)
Douglass El (El Paso, TX)
Douglass High (Douglass, KS)
Douglass High (Memphis, TN)
Douglass High School (Atlanta, GA)
Douglass HS (Oklahoma City, OK)
Douglass Middle (Woodland, CA)
Douglass School (Douglass, TX)
Douglass School (Wilmington, DE)
Doull Elementary School (Denver, CO)
Douma Elementary School (Ottumwa, IA)
Dove Academy Of Detroit (Detroit, MI)
Dove Creek High School (Dove Creek, CO)
Dove Hill Elementary (San Jose, CA)
Dove Science Academy HS (Oklahoma City, OK)
Dove Science Academy Tulsa HS (Tulsa, OK)
Dover Academy For International Studies (Fairfield, CA)
Dover Area HS (Dover, PA)
Dover Avenue Elementary School (Dover, OH)
Dover Elementary (Dover, FL)
Dover Elementary (Dover, TN)
Dover Elementary (San Pablo, CA)
Dover Elementary School (Dover Plains, NY)
Dover High School (Dover Plains, NY)
Dover High School (Dover, AR)
Dover High School (Dover, DE)
Dover High School (Dover, NJ)
Dover High School (Dover, OH)
Dover HS (Dover, OK)
Dover Middle School (Dover, NH)
Dover Senior High School (Dover, NH)
Dover-Eyota High School (Eyota, MN)
Dover-Sherborn Regional High (Dover, MA)
Dow'S Prairie Elementary (Mckinleyville, CA)
Dowell Middle (Mckinney, TX)
Dowling Catholic High School (West Des Moines, IA)
Downey Christian School (Orlando, FL)
Downey High (Downey, CA)
Downey Sch (Harrisburg, PA)
Downieville Junior-Senior High (Downieville, CA)
Downingtown HS East Campus (Exton, PA)
Downingtown HS West Campus (Downingtown, PA)
Downingtown Stem Academy (Downingtown, PA)
Downriver Digital Academy (Ecorse, MI)
Downsville Central School (Downsville, NY)
Downsville Community Charter School (Downsville, LA)
Downtown Business High (Los Angeles, CA)
Downtown Campus (Minneapolis, MN)
Downtown College Prep - Alum Rock (San Jose, CA)
Downtown College Preparatory (San Jose, CA)
Downtown Doral Charter Upper School (Doral, FL)
Downtown Elementary (Bakersfield, CA)
Downtown High (San Francisco, CA)
Downtown Miami Charter School (Miami, FL)
Downtown Montessori (Milwaukee, WI)
Dows Lane (K-3) School (Irvington, NY)
Doyle Elementary (Doyle, TN)
Doyle High School (Livingston, LA)
Doyline High School (Doyline, LA)
Dozier Elementary School (Montgomery, AL)
Dozier-Libbey Medical High (Antioch, CA)
Dp Christian School (Hemet, CA)
Dps Hospital School (Durham, NC)
Dr Alejo Salinas Jr El (Hidalgo, TX)
Dr Alfredo M Aguayo (Ponce, PR)
Dr Andy Hall Early Educ Ctr (Mount Vernon, IL)
Dr Bob Forinash Community Day (Lompoc, CA)
Dr Efrain Gonzalez Tejera (Utuado, PR)
Dr Fermin Calderon El (Del Rio, TX)
Dr Gertrude A Barber Center, Inc (Erie, PA)
Dr Howard Fuller Collegiate Academy (Milwaukee, WI)
Dr I. Montealegre (Miami, FL)
Dr Javier Saenz Middle (Penitas, TX)
Dr Julian Rogus School (Frankfort, IL)
Dr Kenneth M Sorrick School (Palos Hills, IL)
Dr Kiran C Patel High School (Tampa, FL)
Dr Kirk Lewis Career And Technical H S (Houston, TX)
Dr Leo Cigarroa H S (Laredo, TX)
Dr Lewis S Libby School (Milford, ME)
Dr Lydia T Wright Sch Of Excellence (Buffalo, NY)
Dr M L Garza-Gonzalez Charter School (Corpus Christi, TX)
Dr Maria Palmira Mendiola El (Mission, TX)
Dr Ml King Jr Literary & Fine Arts Sch (Evanston, IL)
Dr N H Jones Elementary School (Ocala, FL)
Dr Paul S Saenz J H (San Antonio, TX)
Dr Pedro Albizu Campos (Ponce, PR)
Dr Pedro Albizu Campos (Toa Baja, PR)
Dr Pedro Perea Fajardo (Mayaguez, PR)
Dr Preston L Williams Jr Elementary School (Urbana, IL)
Dr Rafael Lopez Landron (Guayama, PR)
Dr Richard Izquierdo Health And Science Charter School (Bronx, NY)
Dr Robert Ketterer Cs Inc (Latrobe, PA)
Dr Robert W Gilliard Elementary (Mobile, AL)
Dr Ronald Mcnair High School (Jersey City, NJ)
Dr Rosa Minoka-Hill School (Green Bay, WI)
Dr Susan S Mckinney Secondary School Of The Arts (Brooklyn, NY)
Dr T C Mccormick Jr Middle (Buda, TX)
Dr Terry Robbins Middle (Lufkin, TX)
Dr Thomas E Randle H S (Richmond, TX)
Dr Thomas Esparza El (Edinburg, TX)
Dr Wright L Lassiter Jr Early College H S (Dallas, TX)
Dr. Agustin Stahl (Bayamon, PR)
Dr. Albert Einstein Academy School No. 29 (Elizabeth, NJ)
Dr. Albert M. Bean School (Pine Hill, NJ)
Dr. Antonio S. Pedreira (Especializada) (San Juan, PR)
Dr. Benjamin E. Mays Elementary (Greenwood, SC)
Dr. Camille Casteel High School (Queen Creek, AZ)
Dr. Carlos Gonzalez (Aguada, PR)
Dr. Catherine Ellison-Rosa Parks Early Ed School (Mattapan, MA)
Dr. Charles C. Polk School (Roselle, NJ)
Dr. Charles E. Brimm Medical Arts High School (Camden, NJ)
Dr. Charles E. Murphy School (Oakdale, CT)
Dr. Charles R. Drew Elementary (Arlington, VA)
Dr. D. D. Brown Christian Academy Of Hope (Ocala, FL)
Dr. David L. Anderson Middle School (Stuart, FL)
Dr. Doug Sears Learning Center (Temple City, CA)
Dr. Eugene Sires Elementary (Summerville, SC)
Dr. Facundo Bueso (San Juan, PR)
Dr. Gilbert G. Woolard Technology Center (Camden, SC)
Dr. Henry A. Wise Jr. High (Upper Marlboro, MD)
Dr. Heriberto Domenech (Isabela, PR)
Dr. Hiram Gonzalez (Bayamon, PR)
Dr. J. Michael Mcgrath Elementary (Newhall, CA)
Dr. Jorge Alvarez HS (Providence, RI)
Dr. Jose Celso Barbosa (Ponce, PR)
Dr. Jose Celso Barbosa (San Juan, PR)
Dr. Jose M. Lazaro (Carolina, PR)
Dr. Jose N. Gandara (Aibonito, PR)
Dr. Jose Padin (Corozal, PR)
Dr. Joyanne D. Miller Elementary School (Egg Harbor Township, NJ)
Dr. Juan Jose Osuna (Caguas, PR)
Dr. L. F. Soule School (Salem, NH)
Dr. Manuel C. Barreiro Elementary School (Miami, FL)
Dr. Martin Luther King Charter School For Sci Tech (New Orleans, LA)
Dr. Martin Luther King Jr. Early College (Denver, CO)
Dr. Martin Luther King Jr. School (Portland, OR)
Dr. Martin Luther King Upper Elementary School (Asbury Park, NJ)
Dr. Marvin Dunn Academy For Community Education. (El Portal, FL)
Dr. Mary Giella Elementary School (Spring Hill, FL)
Dr. Maximo Donoso Sanchez (Juana Diaz, PR)
Dr. Maya Angelou Community High (Los Angeles, CA)
Dr. Michael M. Krop Senior High (Miami, FL)
Dr. Owen Lloyd Knox Elementary (Los Angeles, CA)
Dr. Paul L. Kelley Volunteer Academy (Knoxville, TN)
Dr. Paul Rafalides School (Jersey City, NJ)
Dr. Phillips Elementary (Orlando, FL)
Dr. Phillips High (Orlando, FL)
Dr. Pila (Ponce, PR)
Dr. R. W. Goines Stem Academy (Arlington, TX)
Dr. Ramon Emeterio Betances (Cayey, PR)
Dr. Richard A. Vladovic Harbor Teacher Preparation Academy (Wilmington, CA)
Dr. Rita H. Inos Junior & Senior High (Rota, MP)
Dr. Rose H. Wilder Elementary (Summerton, SC)
