7933 Main St. (Kansas City, MO)
Madison Monroe School No. 16 (Elizabeth, NJ)
Madison Oaks Academy (Jackson, TN)
Madison Park Academy 6-12 (Oakland, CA)
Madison Park High (Roxbury, MA)
Madison Preparatory Academy (Baton Rouge, LA)
Madison Preparatory High School (Madison Hts, MI)
Madison Ridgeland Academy (Madison, MS)
Madison School (Wyandotte, MI)
Madison Senior High School (Madison, IL)
Madison Senior High School (Rexburg, ID)
Madison Southern High School (Berea, KY)
Madison Station Elementary School (Madison, MS)
Madison Street Academy Of Visual And Performing Arts (Ocala, FL)
Madison Student Support Center (Madison, IL)
Madison Velocity Learning Center (Marshall, NC)
Madison Virtual Franchise (Madison, FL)
Madison Virtual Instruction Program (Madison, FL)
Madison-Grant Jr./Sr. High School (Fairmount, IN)
Madison-Oneida Boces (Verona, NY)
Madison-Plains High School (London, OH)
Madison-Plains Intermediate School (London, OH)
Madison-Plains Junior High (London, OH)
Madisonville H S (Madisonville, TX)
Madisonville Intermediate School (Madisonville, TN)
Madisonville J H (Madisonville, TX)
Madisonville North Hopkins High School (Madisonville, KY)
Madisonville Primary (Madisonville, TN)
Madonna High School (Weirton, WV)
Madras Elementary School (Madras, OR)
Madras High School (Madras, OR)
Madras Middle School (Newnan, GA)
Madrid High School (Madrid, IA)
Madrid-Waddington Junior-Senior High School (Madrid, NY)
Madrona Elementary (Thousand Oaks, CA)
Madrona Elementary School (Grants Pass, OR)
Madrona K-5 School (Seattle, WA)
Madrone High Continuation (San Rafael, CA)
Mae Jemison School (Hazel Crest, IL)
Maeola E. Beitzel Elementary (Sacramento, CA)
Magdalena High (Magdalena, NM)
Magee High School (Magee, MS)
Magee Middle School (Tucson, AZ)
Magellan Charter (Raleigh, NC)
Magelssen Elementary (Fosston, MN)
Magen David Yesh-Isaac Shlm E (Brooklyn, NY)
Magen David Yeshivah High School (Brooklyn, NY)
Maggie Cordova Elementary School (Rio Rancho, NM)
Maggie L. Walker Gov. Sch. (Richmond, VA)
Magic City Campus High School (Minot, ND)
Magic Valley High School (Twin Falls, ID)
Magill Elementary School (Loganville, GA)
Magna School (Magna, UT)
Magna Vista High (Ridgeway, VA)
Magnet Academy For Cultural Arts (Opelousas, LA)
Magnet Cove High School (Malvern, AR)
Magnificat High School (Rocky River, OH)
Magnolia (Magnolia, NJ)
Magnolia Avenue Elementary (Los Angeles, CA)
Magnolia Elementary (Carlsbad, CA)
Magnolia Elementary (Joppa, MD)
Magnolia Elementary (Lumberton, NC)
Magnolia Elementary (Riverside, CA)
Magnolia H S (Magnolia, TX)
Magnolia Heights School (Senatobia, MS)
Magnolia High (Anaheim, CA)
Magnolia High School (Magnolia, AR)
Magnolia High School (New Martinsville, WV)
Magnolia Park (Burbank, CA)
Magnolia School (Orlando, FL)
Magnolia School Of Excellence (Shreveport, LA)
Magnolia Science Academy (Reseda, CA)
Magnolia Science Academy 2 (Van Nuys, CA)
Magnolia Science Academy 3 (Carson, CA)
Magnolia Science Academy 4 (Los Angeles, CA)
Magnolia Science Academy 5 (Reseda, CA)
Magnolia Science Academy Santa Ana (Santa Ana, CA)
Magnolia West H S (Magnolia, TX)
Magoffin County High School (Salyersville, KY)
Magothy River Middle (Arnold, MD)
Magueyes Ii (Guanica, PR)
Mahanoy Area El Sch (Mahanoy City, PA)
Mahanoy Area Jshs (Mahanoy City, PA)
Mahantongo El Sch (Klingerstown, PA)
Maharishi School (Fairfield, IA)
Mahatma K. Gandhi School (Jersey City, NJ)
Mahnomen Area Learning Center (Mahnomen, MN)
Mahnomen Secondary (Mahnomen, MN)
Mahomet-Seymour High School (Mahomet, IL)
Mahomet-Seymour Jr High School (Mahomet, IL)
Mahoning Career & Technical (Canfield, OH)
Mahoning County High School (Youngstown, OH)
Mahoning Unlimited Classroom (Canfield, OH)
Mahoning Valley Academy (Lehighton, PA)
Mahopac High School (Mahopac, NY)
Mahopac Middle School (Mahopac, NY)
Mahtomedi Senior High (Mahtomedi, MN)
Mahwah High School (Mahwah, NJ)
Maiden Choice School (Baltimore, MD)
Maiden High (Maiden, NC)
Maidu Virtual Charter Academy (Auburn, CA)
Maili Bible School (Waianae, HI)
Maili Elementary School (Waianae, HI)
Maimonides (Brookline, MA)
Maimonides Hebrew Day School (Albany, NY)
Maimonides School Elementary Section (Brookline, MA)
Main Preparatory Academy (Akron, OH)
Main Street Academy (Winston-Salem, NC)
Main Street Alternative School (Bolton, MS)
Main Street El Sch (Titusville, PA)
Main Street Elem. (Troy, MO)
Main Street High School (Kissimmee, FL)
Main Street Sch (Upland, PA)
Main Street Scholars (Half Moon Bay, CA)
Main Street School (Norwalk, IA)
Main Street Schoolhouse- Inc (Hamilton, OH)
Maine Academy Of Natural Sciences (Hinckley, ME)
Maine Arts Academy School (Sidney, ME)
Maine Central Institute (Pittsfield, ME)
Maine Coast Semester At Chewonki (Wiscasset, ME)
Maine Coast Waldorf School (Freeport, ME)
Maine Connections Academy (Scarborough, ME)
Maine East High School (Park Ridge, IL)
Maine Ocean School (Searsport, ME)
