C A Farley (Hudson, MA)
Calhoun County Elementary School (Arlington, GA)
Calhoun County High (St. Matthews, SC)
Calhoun County High School (Edison, GA)
Calhoun Falls Charter School (Calhoun Falls, SC)
Calhoun H S (Port Lavaca, TX)
Calhoun High (Calhoun, MO)
Calhoun High School (Calhoun, GA)
Calhoun High School (Hardin, IL)
Calhoun High School (Letohatchee, AL)
Calhoun Middle/High School (Mt. Zion, WV)
Calhoun School (New York, NY)
Calhoun Virtual Franchise (Blountstown, FL)
Calhoun Virtual Instruction (Course Offerings) (Blountstown, FL)
Calhoun Virtual Instruction Program (Blountstown, FL)
Calhoun Virtual Instruction Program (District Provided) (Blountstown, FL)
Calhoun-Gilmer Career Center (Grantsville, WV)
Caliche Junior-Senior High School (Iliff, CO)
Calico Continuation High (Yermo, CA)
Calico Rock High School (Calico Rock, AR)
California Academy Of Mathematics And Science (Carson, CA)
California Area Intermediate Ms (Coal Center, PA)
California Area Shs (Coal Center, PA)
California City High (California City, CA)
California City Middle (California City, CA)
California Connections Academy @ Ripon (Ripon, CA)
California Connections Academy Central Coast (New Cuyama, CA)
California Connections Academy Monterey Bay (Scotts Valley, CA)
California Connections Academy North Bay (Middletown, CA)
California Connections Academy Southern California (San Juan Capistrano, CA)
California Connections Academy@Central (Alpaugh, CA)
California Crosspoint Academy (Hayward, CA)
California Elementary (Orange, CA)
California Elementary (West Covina, CA)
California Heritage Youthbuild Academy Ii (Redding, CA)
California High (California, MO)
California High (San Ramon, CA)
California High (Whittier, CA)
California Innovative Career Academy (Sacramento, CA)
California Lutheran High School (Wildomar, CA)
California Middle (California, MO)
California Military Institute (Perris, CA)
California Pacific Charter - San Diego (Newport Beach, CA)
California Pacific Charter - Sonoma (Guerneville, CA)
California Pacific Charter- Los Angeles (Newport Beach, CA)
California Preparatory Academy (San Juan Capistrano, CA)
California Ranch School (Perris, CA)
California School For The Blind (Fremont, CA)
California School For The Deaf-Fremont (Fremont, CA)
California School For The Deaf-Riverside (Riverside, CA)
California School Of The Arts - San Gabriel Valley (Duarte, CA)
California Trail Middle School (Olathe, KS)
California University Fce (Los Angeles, CA)
California University Fce High School (Irvine, CA)
California University Preparatory School (Rowland Heights, CA)
Calimesa Elementary (Yucaipa, CA)
Calipatria High (Calipatria, CA)
Calistoga Junior/Senior High (Calistoga, CA)
Calla High (Manteca, CA)
Callahan Elementary School (Callahan, FL)
Callaway Elementary School (Callaway, NE)
Callaway Elementary School (Panama City, FL)
Callaway High School (Callaway, NE)
Callaway High School (Hogansville, GA)
Callaway High School (Jackson, MS)
Callaway Hills Elem. (Holts Summit, MO)
Callaway Middle School (Lagrange, GA)
Calle Mayor Middle (Torrance, CA)
Callisburg El (Gainesville, TX)
Callisburg H S (Callisburg, TX)
Calloway (Cab) School Of The Arts (Wilmington, DE)
Calloway County Alternative Program (Murray, KY)
Calloway County High School (Murray, KY)
Calloway County Middle School (Murray, KY)
Calloway Smith Middle School (Mobile, AL)
Caloosa Elementary School (Cape Coral, FL)
Calpella Elementary (Ukiah, CA)
Calumet Christian School (Griffith, IN)
Calumet High School (Calumet, MI)
Calumet HS (Calumet, OK)
Calumet New Tech High School (Gary, IN)
Calusa Elementary School (Boca Raton, FL)
Calusa Preparatory School (Miami, FL)
Calvary Academy (North Little Rock, AR)
Calvary Academy (Springfield, IL)
Calvary Academy- The (Cincinnati, OH)
Calvary Baptist Academy (Chillicothe, IL)
Calvary Baptist Academy (Clymer, PA)
Calvary Baptist Academy (Huntsville, AL)
Calvary Baptist Academy (Hurricane, WV)
Calvary Baptist Academy (Shreveport, LA)
Calvary Baptist Christian Academy (American Canyon, CA)
Calvary Baptist Church Academy (Glen Burnie, MD)
Calvary Baptist Church Academy (Lakeland, FL)
Calvary Baptist Church School (New Bern, NC)
Calvary Baptist School (Conroe, TX)
Calvary Baptist School (Kingston, TN)
Calvary Baptist School (Lansdale, PA)
Calvary Baptist School (Menomonee Falls, WI)
Calvary Baptist Schools (La Verne, CA)
