Lafayette Elementary School (Albany, OR)
Lafayette High (St Joseph, MO)
Lafayette High (Williamsburg, VA)
Lafayette High School (La Fayette, GA)
Lafayette High School (Lafayette, AL)
Lafayette High School (Lafayette, LA)
Lafayette High School (Lexington, KY)
Lafayette High School (Mayo, FL)
Lafayette High School (Oxford, MS)
Lafayette International School (Buffalo, NY)
Lafayette Lanier Elementary School (Valley, AL)
Lafayette Mills School (Manalapan, NJ)
Lafayette Park Elementary School (Kokomo, IN)
Lafayette School (Troy, VA)
Lafayette Secondary (Red Lake Falls, MN)
Lafayette Sr. High (Wildwood, MO)
Lafayette Virtual Franchise (Mayo, FL)
Lafayette Virtual Instruction Course Offerings (Mayo, FL)
Lafayette Virtual Instruction Program (Mayo, FL)
Lafollette High (Madison, WI)
Lago Vista H S (Lago Vista, TX)
Lagrange Academy (Lagrange, GA)
Lagrange Elementary School (La Grange, KY)
Lagrange High School (Lagrange, GA)
Lagrange High School (Lake Charles, LA)
Laguna Beach High (Laguna Beach, CA)
Laguna Blanca School (Santa Barbara, CA)
Laguna Creek High (Elk Grove, CA)
Laguna Elementary (Petaluma, CA)
Laguna High (Sebastopol, CA)
Laguna Hills High (Laguna Hills, CA)
Laguna Madre Christian Academy (Laguna Vista, TX)
Laguna Vista Elementary (Oxnard, CA)
Laguna-Acoma High (Casa Blanca, NM)
Lahainaluna High School (Lahaina, HI)
Lahr-Well Academy (Edwardsville, IL)
Laie Elementary School (Laie, HI)
Laingsburg Christian School (Laingsburg, MI)
Laingsburg High School (Laingsburg, MI)
Laird Elementary School (Tempe, AZ)
Lake Academy (Tampa, FL)
Lake Academy Eustis (Eustis, FL)
Lake Academy Leesburg (Leesburg, FL)
Lake Air Montessori School (Waco, TX)
Lake Alfred Polytech Academy (Lake Alfred, FL)
Lake Area Christian School (Sturgis, MI)
Lake Arrowhead Christian School (Twin Peaks, CA)
Lake Arthur High (Lake Arthur, NM)
Lake Arthur High School (Lake Arthur, LA)
Lake Asbury Elementary School (Green Cove Springs, FL)
Lake Asbury Junior High School (Green Cove Springs, FL)
Lake Balboa College Preparatory Magnet K-12 (Lake Balboa, CA)
Lake Benton Secondary (Lake Benton, MN)
Lake Bluff Middle School (Lake Bluff, IL)
Lake Braddock Secondary (Burke, VA)
Lake Brantley High School (Altamonte Springs, FL)
Lake Cable Elementary School (Canton, OH)
Lake Canyon Elementary (Galt, CA)
Lake Career Technical Center (Camdenton, MO)
Lake Carolina Elementary Upper Campus (Blythewood, SC)
Lake Catholic High School (Mentor, OH)
Lake Center Christian School (Hartville, OH)
Lake Central High School (Saint John, IN)
Lake Champlain Waldorf School (Shelburne, VT)
Lake Charles Charter Academy (Lake Charles, LA)
Lake Charles College Prep (Lake Charles, LA)
Lake Chelan Preschool (Chelan, WA)
Lake City Christian Academy (Lake City, FL)
Lake City Community School (Lake City, CO)
Lake City Credit Recovery (Lake City, MN)
Lake City Early Childhood Center (Lake City, SC)
Lake City Elementary School (Lake City, GA)
Lake City Elementary School (Lake City, MI)
Lake City High (Lake City, SC)
Lake City High School (Coeur D'Alene, ID)
Lake City High School (Lake City, MI)
Lake Co Collaborative Alop (Grayslake, IL)
Lake Co High School (Tiptonville, TN)
Lake Co High Schools Tech Campus (Grayslake, IL)
Lake Como School (Orlando, FL)
Lake Cormorant Elementary (Lake Cormorant, MS)
Lake Cormorant High (Lake Cormorant, MS)
Lake Country Christian School (Fort Worth, TX)
Lake Country School (Hartland, WI)
Lake County Acer Program (Tavares, FL)
Lake County Baptist School (Waukegan, IL)
Lake County High School (Leadville, CO)
Lake County Rop (Lakeport, CA)
Lake Creek H S (Montgomery, TX)
Lake Creek Mennonite School (Halsey, OR)
Lake Cumberland Area Technology Center (Russell Springs, KY)
Lake Cumberland Youth Development Center (Monticello, KY)
Lake Dallas H S (Corinth, TX)
Lake Delton Elementary (Lake Delton, WI)
Lake Denoon Middle (Muskego, WI)
Lake Elementary School (Lake, MS)
Lake Elementary School (Millbury, OH)
Lake Elementary School (St. Amant, LA)
Lake Eola Charter (Orlando, FL)
Lake Erie International High School (Cleveland, OH)
Lake Fenton High School (Linden, MI)
Lake Fenton Middle School (Fenton, MI)
Lake Forest Academy (Lake Forest, IL)
Lake Forest Elementary (Atlanta, GA)
Lake Forest Elementary (Greenville, SC)
Lake Forest Elementary School (Gainesville, FL)
Lake Forest High School (Felton, DE)
Lake Forest High School (Lake Forest, IL)
Lake Forest Middle School (Cleveland, TN)
Lake Gem Elementary (Orlando, FL)
Lake George Elementary School (Lake George, NY)
Lake George Junior-Senior High School (Lake George, NY)
Lake Gibson Senior High School (Lakeland, FL)
Lake Grace Christian School (Jesup, GA)
Lake Granbury Academy (Granbury, TX)
Lake Grove Elementary School (Federal Way, WA)
Lake Grove Elementary School (Lake Oswego, OR)
Lake Hamilton High School (Pearcy, AR)
Lake Hamilton Jr. High School (Pearcy, AR)
Lake Hamilton Middle School (Pearcy, AR)
Lake Harriet Lower Elementary (Minneapolis, MN)
Lake Havasu High School (Lake Havasu City, AZ)
Lake Hazel Middle School (Boise, ID)
Lake High School (Lake, MS)
Lake High School (Millbury, OH)
Lake Highland Preparatory School (Orlando, FL)
Lake Highlands El (Dallas, TX)
Lake Highlands H S (Dallas, TX)
Lake Hills Elementary School (Spring Lake, MI)
Lake Hills School (Howey In The Hills, FL)
Lake Howell High School (Winter Park, FL)
Lake Huron Virtual Hybrid High School (New Haven, MI)
Lake Lindenhubbell Schools (Lake Linden, MI)
