United Christian School (Nappanee, IN)
United Community Center Acosta Middle School (Milwaukee, WI)
United Community School (Charlotte, NC)
United Faith Christian Academy (Charlotte, NC)
United For Success Academy (Oakland, CA)
United H S (Laredo, TX)
United High School (Clarksburg, WV)
United High School (Hanoverton, OH)
United High School (Monmouth, IL)
United Hospital Adolescent Program (Saint Paul, MN)
United Jshs (Armagh, PA)
United Seattle&Bellevue Korean Sch Bellevue Campus (Bellevue, WA)
United South Central High School (Wells, MN)
United South H S (Laredo, TX)
United Talmudical Academy (Spring Valley, NY)
United Talmudical Academy Of Boro Park (Brooklyn, NY)
United Technical Center (Clarksburg, WV)
United Twp Area Career Ctr (East Moline, IL)
United Twp High School (East Moline, IL)
United World College (Montezuma, NM)
Unity Alternative School (Lowell, MI)
Unity Campus (Minneapolis, MN)
Unity Center For Urban Technologies (New York, NY)
Unity Charter School (Morristown, NJ)
Unity Christian Academy (Chocowinity, NC)
Unity Christian Academy (South Holland, IL)
Unity Christian Elementary School (Fulton, IL)
Unity Christian High School (Hudsonville, MI)
Unity Christian High School (Orange City, IA)
Unity Christian School (Berlin, NH)
Unity Christian School (Fulton, IL)
Unity Christian School (Rome, GA)
Unity Classical Charter (Charlotte, NC)
Unity Elem School (Brookport, IL)
Unity Elementary (Balsam Lake, WI)
Unity Elementary School (Mendon, IL)
Unity Elementary School (Newport, NH)
Unity High (Balsam Lake, WI)
Unity High School (Burnsville, MN)
Unity High School (Mendon, IL)
Unity High School (Tolono, IL)
Unity Middle College High (Orange, CA)
Unity Preparatory Charter School Of Brooklyn (Brooklyn, NY)
Unity Reed High (Manassas, VA)
Unity West (Tolono, IL)
Univ Of Chicago Chtr-Donoghue (Chicago, IL)
Univ Of Chicago Chtr-Woodlawn (Chicago, IL)
Univ Of Chicago Lab School (Chicago, IL)
Universal Academy - Coppell (Coppell, TX)
Universal Academy (Detroit, MI)
Universal Academy (Irving, TX)
Universal Academy Charter School (Minneapolis, MN)
Universal Academy Of Florida (Tampa, FL)
Universal Audenried Cs (Philadelphia, PA)
Universal Education Center (Orlando, FL)
Universal Learning Academy (Westland, MI)
Universal School (Bridgeview, IL)
Universal School (Buffalo, NY)
