Imagine School At Town Center (Palm Coast, FL)
Imagine Superstition Middle (Apache Junction, AZ)
Imago Dei Academy (Alamogordo, NM)
Imani Christian Academy (Pittsburgh, PA)
Imater Academy (Hialeah, FL)
Imater Academy Middle School (Hialeah, FL)
Imater Preparatory Academy High School (Hialeah, FL)
Imbler Charter School (Imbler, OR)
Img Academy (Bradenton, FL)
Imhotep Institute Chs (Philadelphia, PA)
Imk Community Education (Iron Mountain, MI)
Imlay City High School (Imlay City, MI)
Immaculata Classical Academy (Louisville, KY)
Immaculata High School (Somerville, NJ)
Immaculata-La Salle High School (Miami, FL)
Immaculate Conception Academy (Cincinnati, OH)
Immaculate Conception Catholic School (Augusta, GA)
Immaculate Conception High School (Lodi, NJ)
Immaculate Conception High School (Montclair, NJ)
Immaculate Conception School (Fairbanks, AK)
Immaculate Heart (Los Angeles, CA)
Immaculate Heart Academy (Washington Township, NJ)
Immaculate Heart Central Jr/Sr High School (Watertown, NY)
Immaculate Heart High School (Tucson, AZ)
Immaculate Heart Of Mary School (Harvard, MA)
Immaculate Heart Of Mary School (Richmond, NH)
Immaculate High School (Danbury, CT)
Immanuel Christian Academy (Monticello, KY)
Immanuel Christian School (El Paso, TX)
Immanuel Christian School (Hazleton, PA)
Immanuel Christian School (Ridgecrest, CA)
Immanuel Christian School (Roscommon, MI)
Immanuel Christian School (Springfield, VA)
Immanuel House Institute Of Higher Learning (Moreno Valley, CA)
Immanuel Lutheran Christian Academy (Broken Arrow, OK)
Immanuel Lutheran School (Mankato, MN)
Immanuel Lutheran School (Roswell, NM)
Immersion Schools Science Technology Arts (Pueblo, CO)
Immokalee High School (Immokalee, FL)
Immokalee Middle School (Immokalee, FL)
Immokalee Technical College (Immokalee, FL)
Immokalee Teen Parenting Prog (Immokalee, FL)
Impact Academy (Indianapolis, IN)
Impact Academy Of Arts & Technology (Hayward, CA)
Impact Early College H S (Baytown, TX)
Impact Halfway House (Jacksonville, FL)
Impact Institutue (Kendallville, IN)
Impact Prep At Chestnut (Springfield, MA)
Impact Reengagement Program (Lynden, WA)
Imperial Ave. Holbrook High (Imperial, CA)
Imperial County Special Education (El Centro, CA)
Imperial High (Imperial, CA)
Imperial Middle (La Habra, CA)
Imperial Pathways Charter (El Centro, CA)
Imperial Valley Rop (El Centro, CA)
Imprints Program (New Ulm, MN)
In His Image Christian Academy (Marietta, GA)
In Math & Science Academy - North (Indianapolis, IN)
In The Presence Of God Coram Deo Classical Academy (Brownsville, TX)
In-Tech Academy (Ms/HS 368) (Bronx, NY)
Ina Arbuckle Elementary (Jurupa Valley, CA)
Inarajan Middle School (Inarajan, GU)
Incarnate Word Academy (Houston, TX)
Incarnate Word Academy (Saint Louis, MO)
Incarnate Word High School (San Antonio, TX)
Inchelium High School (Inchelium, WA)
Incline High School (Incline Village, NV)
Inclusive Learning Academy (Kinnelon, NJ)
Independence (Lodi, CA)
Independence Academy (Grand Junction, CO)
Independence Academy (Independence, MO)
Independence Alternative High School (Blackfoot, ID)
Independence Bible School (Independence, KS)
Independence Charter Academy (Helendale, CA)
Independence Christian Academy (Independence, IA)
Independence Classical Academy (Fort Pierce, FL)
Independence Continuation (Diamond Springs, CA)
Independence Continuation (Lake Balboa, CA)
Independence Continuation High (Madera, CA)
Independence Elementary (Independence, WI)
Independence Elementary School (Aurora, CO)
Independence Elementary School (Clarkston, MI)
Independence H S (Frisco, TX)
Independence High (Alternative) (Alhambra, CA)
Independence High (Alternative) (Merced, CA)
Independence High (Alternative) (Roseville, CA)
Independence High (Ashburn, VA)
Independence High (Bakersfield, CA)
Independence High (Brentwood, CA)
Independence High (Continuation) (Sutter Creek, CA)
Independence High (Independence, WI)
Independence High (Paso Robles, CA)
Independence High (Provo, UT)
Independence High (San Francisco, CA)
Independence High (San Jose, CA)
Independence High Magnet (Independence, LA)
Independence High School (Bellingham, WA)
Independence High School (Charlotte, NC)
Independence High School (Coal City, WV)
Independence High School (Coldwater, MS)
Independence High School (Columbus, OH)
Independence High School (Elko, NV)
Independence High School (Glendale, AZ)
Independence High School (Independence, OH)
Independence High School (New York, NY)
Independence High School (Rio Rancho, NM)
Independence High School (Roswell, GA)
Independence High School (Thompson'S Station, TN)
Independence Intermediate Schl (Yukon, OK)
Independence Junior Senior High School (Independence, IA)
Independence Middle (Independence, WI)
Independence Middle School (Jupiter, FL)
Independence Ms (Bethel Park, PA)
Independence Primary School (Independence, OH)
Independence School Local I (Baltimore, MD)
Independence Sr High (Independence, KS)
Independent Baptist Academy (Clinton, MD)
Independent Baptist Academy (Sebring, FL)
Independent Baptist Academy Of Sebring (Sebring, FL)
Independent Educational Programs (Anderson, CA)
Independent Elementary (Wichita, KS)
Independent Scholar (Chattaroy, WA)
Independent Technical Real Access To College & Career (Spokane Valley, WA)
Independent Trails (Shingle Springs, CA)
Inderkum High (Sacramento, CA)
Indiahoma Es (Indiahoma, OK)
Indiahoma HS (Indiahoma, OK)
Indian Ave School (Bridgeton, NJ)
Indian Bible Academy (Elton, LA)
Indian Creek El (San Antonio, TX)
Indian Creek Elementary School (Indianapolis, IN)
Indian Creek Elementary School (Trafalgar, IN)
Indian Creek High School (Shabbona, IL)
Indian Creek High School (Wintersville, OH)
Indian Creek School (Crownsville, MD)
Indian Creek Sr High School (Trafalgar, IN)
Indian Creek-Welcome Baptist Church School (Chesapeake, VA)
Indian Hill (Palos Heights, IL)
Indian Hill High School (Cincinnati, OH)
Indian Hill School (River Hills, WI)
Indian Hills Continuation High (Agoura, CA)
Indian Hills Elementary School (Pocatello, ID)
Indian Hills Elementary School (Washington, MI)
Indian Hills High School (Oakland, NJ)
Indian Hills School (Salt Lake City, UT)
Indian Knoll Elem School (West Chicago, IL)
Indian Lake Central School (Indian Lake, NY)
Indian Lake High School (Lewistown, OH)
Indian Lake Middle School (Lewistown, OH)
Indian Lakes Elem (Virginia Beach, VA)
Indian Land Elementary (Indian Land, SC)
Indian Land High (Indian Land, SC)
Indian Meridian Es (Choctaw, OK)
Indian Prairie Elementary School (Kalamazoo, MI)
Indian Ridge School (West Palm Beach, FL)
Indian River (Irjcf) (Massillon, OH)
Indian River Academy (Vero Beach, FL)
Indian River Charter High School (Vero Beach, FL)
Indian River High (Chesapeake, VA)
Indian River High School (Dagsboro, DE)
Indian River High School (Philadelphia, NY)
Indian River Intensive Learning Center (Selbyville, DE)
Indian River Middle School (Philadelphia, NY)
Indian River School (Canaan, NH)
Indian River Virtual Course Offerings (Vero Beach, FL)
Indian River Virtual Instruction Program (Vero Beach, FL)
Indian Rocks Christian School (Largo, FL)
Indian Run Elementary School (Dublin, OH)
Indian Springs Elementary School (Columbus, OH)
Indian Springs Es (Indian Springs, NV)
Indian Springs High (San Bernardino, CA)
Indian Springs HS (Indian Springs, NV)
Indian Trail Elementary (Spokane, WA)
Indian Trail Elementary School (Canal Winchester, OH)
Indian Trail Elementary School (Laporte, IN)
Indian Trail High School And Academy (Kenosha, WI)
Indian Trails Elem. (Independence, MO)
Indian Valley Area Voc Ctr (Sandwich, IL)
Indian Valley El Sch (Reedsville, PA)
Indian Valley Elementary (Overland Park, KS)
Indian Valley High School (Gnadenhutten, OH)
Indian Valley Ms (Harleysville, PA)
Indiana Academy (Cicero, IN)
Indiana Academy For Sci Math Hmn (Muncie, IN)
Indiana Agriculture And Technology (Morgantown, IN)
Indiana Area Shs (Indiana, PA)
Indiana Christian Academy (Anderson, IN)
