Baltimore City College (Baltimore, MD)
Baltimore Design School (Baltimore, MD)
Baltimore International Academy (Baltimore, MD)
Baltimore Lab School (Baltimore, MD)
Baltimore Leadership School For Young Women (Baltimore, MD)
Baltimore Polytechnic Institute (Baltimore, MD)
Baltimore School For The Arts (Baltimore, MD)
Baltimore School Of Independent Learners (Owings Mills, MD)
Bamberg-Ehrhardt High (Bamberg, SC)
Bamberg-Ehrhardt Middle (Bamberg, SC)
Banaadir Secondary (Minneapolis, MN)
Bancroft Elementary (Minneapolis, MN)
Bancroft Es (Washington, DC)
Bancroft School (Worcester, MA)
Bancroft-Rosalie Jr/Sr High School (Bancroft, NE)
Bandera H S (Bandera, TX)
Bandon Senior High School (Bandon, OR)
Bandys High (Catawba, NC)
Bangor Area HS (Bangor, PA)
Bangor Career Academy (Bangor, MI)
Bangor Christian Schools (Bangor, ME)
Bangor High School (Bangor, ME)
Bangor High School (Bangor, MI)
Bangor Lincoln School (Bay City, MI)
Bangor Middle School (Bangor, MI)
Bangor Middle/High (Bangor, WI)
Bangor Township Virtual School (Bay City, MI)
Bangor West Central School (Bay City, MI)
Bangs H S (Bangs, TX)
Bankbridge Regional School (Sewell, NJ)
Banks Academy (Birmingham, AL)
Banks County High School (Homer, GA)
Banks County Middle School (Homer, GA)
Banks High School (Banks, OR)
Banks Middle School (Banks, OR)
Banneker High School (College Park, GA)
Banner  Academy (Tempe, AZ)
Banner County High School (Harrisburg, NE)
Banner Elk Elementary (Banner Elk, NC)
Banner Preparatory School Of Milwaukee (Milwaukee, WI)
Banning High (Banning, CA)
Banning Lewis Ranch Academy (Colorado Springs, CO)
Bannockburn Elementary (Bethesda, MD)
Banquete H S (Banquete, TX)
Bansbach Academy At Denver Childrens Home (Denver, CO)
Banyan Tree Foundations Academy (San Diego, CA)
Banyan Upper School (Little Falls, NJ)
Baptist Bible Academy (Waterford, CT)
Baptist Hill High (Hollywood, SC)
Baraboo High (Baraboo, WI)
Barack Obama Elementary School (Hempstead, NY)
Barack Obama Elementary School (St. Louis, MO)
Barack Obama Male Leadership Acad At A Maceo Smith (Dallas, TX)
Baraga Maximum Correctional Facility (Baraga, MI)
Baraga School (Baraga, MI)
Barat Academy (Chesterfield, MO)
Barbara B Rose Elem School (South Barrington, IL)
Barbara Cardwell Career Preparatory Center (Irving, TX)
Barbara Cockrell El (Pearland, TX)
Barbara Fasken El (Laredo, TX)
Barbara Goleman Senior High (Miami Lakes, FL)
Barbara Ingram School For The Arts (Hagerstown, MD)
Barbara Jordan El (Dallas, TX)
Barbara Jordan El (Odessa, TX)
Barbara Jordan Elem. (University City, MO)
Barbara M Manns H S Daep (Dallas, TX)
Barbara M Manns Middle Daep (Dallas, TX)
Barbara Webster Elementary (Santa Paula, CA)
Barbaras Kitchen School Of Excellence (Bkse) (Citra, FL)
Barbers Hill El South (Mont Belvieu, TX)
Barbers Hill H S (Mont Belvieu, TX)
Barbers Hill Middle South (Mont Belvieu, TX)
Barbers Point Elementary School (Kapolei, HI)
Barberton Elementary School West (Barberton, OH)
Barberton High School (Barberton, OH)
