3001 Thunder Rd (Alamagordo, NM)
Tapestry Alop (Hillside, IL)
Tapestry Charter School (Buffalo, NY)
Tapestry Public Charter School (Doraville, GA)
Tappan Zee High School (Orangeburg, NY)
Tappen Elementary School (Tappen, ND)
Tar River Academy (Rocky Mount, NC)
Tara High School (Baton Rouge, LA)
Tara Performing Arts High School (Boulder, CO)
Tarboro High (Tarboro, NC)
Tarhe Trails Elementary School (Lancaster, OH)
Tariffville School (Tariffville, CT)
Tarkington H S (Cleveland, TX)
Tarkio High (Tarkio, MO)
Tarpon Springs Elementary School (Tarpon Springs, FL)
Tarpon Springs High School (Tarpon Springs, FL)
Tarrallton Elem (Norfolk, VA)
Tarrant Co College South/Fort Worth Collegiate H S (Fort Worth, TX)
Tarrant Co J J A E P (Grapevine, TX)
Tarrant Co J J A E P (Haltom City, TX)
Tarrant Co J J A E P (Southlake, TX)
Tarrant High School (Tarrant, AL)
Tarrant Youth Recovery (Ft Worth, TX)
Tartan Senior High (Oakdale, MN)
Tarver El (Temple, TX)
Tascosa H S (Amarillo, TX)
Tate Elementary School (Tate, GA)
Tates Creek Elementary School (Lexington, KY)
Tates Creek High School (Lexington, KY)
Tatitlek Community School (Tatitlek, AK)
Tattnall County High School (Reidsville, GA)
Tatum El (Farmersville, TX)
Tatum El (Tatum, TX)
Tatum H S (Tatum, TX)
Tatum High (Tatum, NM)
Taunton Alternative High School (Taunton, MA)
Taunton High (Taunton, MA)
Tavares High School (Tavares, FL)
Tawas Area High School (Tawas City, MI)
Taycheedah Correctional Institution (Fond Du Lac, WI)
Taylion High Desert Academy/Adelanto (Adelanto, CA)
Taylor (Bertha) Elementary (San Jose, CA)
Taylor (Edward R.) Elementary (San Francisco, CA)
Taylor Career And Technical Center (Taylor, MI)
Taylor County Accelerated School (Perry, FL)
Taylor County High School (Butler, GA)
Taylor County High School (Campbellsville, KY)
Taylor County High School (Perry, FL)
Taylor County Jail Services (Perry, FL)
Taylor County Learning Center (Abilene, TX)
Taylor County Middle School (Perry, FL)
Taylor County Pre-K (Perry, FL)
Taylor El (Mercedes, TX)
Taylor El (Plano, TX)
Taylor Elementary School (Cincinnati, OH)
Taylor Elementary School (Taylor, AR)
Taylor H S (Houston, TX)
Taylor H S (Katy, TX)
Taylor H S (Taylor, TX)
Taylor High School (Cleves, OH)
Taylor High School (Kokomo, IN)
Taylor High School (Taylor, AR)
Taylor High School (Taylor, MI)
Taylor Intermediate School (Taylor, AZ)
Taylor Junior High School (Mesa, AZ)
Taylor Middle School (Kokomo, IN)
Taylor Mill Elementary School (Covington, KY)
Taylor Mills School (Manalapan, NJ)
Taylor Paec K-12 (Perry, FL)
Taylor Preparatory High School (Taylor, MI)
Taylor Ray El (Rosenberg, TX)
Taylor Virtual Franchise (Perry, FL)
Taylor Virtual Learning Academy (Taylor, MI)
Taylor White Elementary School (Mobile, AL)
Taylors Crossing Charter School (Idaho Falls, ID)
Taylorsville Attendance Center (Taylorsville, MS)
Taylorsville Elementary (Taylorsville, NC)
Taylorsville Elementary School (Taylorsville, GA)
Taylorsville Elementary School (Taylorsville, IN)
Taylorsville High (Taylorsville, UT)
Taylorview Middle School (Idaho Falls, ID)
Taylorville Alternative School (Taylorville, IL)
Taylorville Jr High School (Taylorville, IL)
Taylorville Sr High School (Taylorville, IL)
Tays J H (Katy, TX)
Tazewell Co Area Efe Rds (Pekin, IL)
Tazewell High (Tazewell, VA)
Tba Career Tech Center (Traverse City, MI)
Tba Isd Oak Park Special Education (Traverse City, MI)
